AID,SERVICE,MID
7-889366,arkivet,26-103676
7-889594,arkivet,26-103601
7-887620,arkivet,26-103499
7-887620,arkivet,26-103501
7-887620,arkivet,26-103502
7-887620,arkivet,26-103503
7-887620,arkivet,26-103505
7-887620,arkivet,26-103508
7-889615,arkivet,26-103260
7-889611,arkivet,26-103445
7-889611,arkivet,26-103434
7-889611,arkivet,26-103437
7-889611,arkivet,26-103435
7-889611,arkivet,26-103436
7-889611,arkivet,26-103431
7-889611,arkivet,26-103438
7-889611,arkivet,26-103432
7-889611,arkivet,26-103439
7-889611,arkivet,26-103440
7-889611,arkivet,26-103433
7-889611,arkivet,26-103441
7-889611,arkivet,26-103446
7-889611,arkivet,26-103429
7-889608,arkivet,26-103340
7-889608,arkivet,26-103337
7-889608,arkivet,26-103341
7-889608,arkivet,26-103339
7-889608,arkivet,26-103346
7-889608,arkivet,26-103338
7-889608,arkivet,26-103343
7-889608,arkivet,26-103347
7-889608,arkivet,26-103336
7-889578,arkivet,26-102668
7-889578,arkivet,26-102670
7-889578,arkivet,26-103403
7-889578,arkivet,26-103405
7-889578,arkivet,26-103573
7-889578,arkivet,26-103575
7-889578,arkivet,26-103691
7-889578,arkivet,26-103692
7-889578,arkivet,26-103828
7-889578,arkivet,26-103829
7-889578,arkivet,26-103979
7-889578,arkivet,26-103980
7-889578,arkivet,26-103982
7-889604,arkivet,26-103254
7-889604,arkivet,26-103261
7-889604,arkivet,26-103259
7-889604,arkivet,26-103266
7-889604,arkivet,26-107588
7-886061,arkivet,26-103214
7-886061,arkivet,26-103180
7-886061,arkivet,26-103170
7-886061,arkivet,26-103215
7-886061,arkivet,26-103258
7-886061,arkivet,26-103209
7-886061,arkivet,26-103202
7-886061,arkivet,26-103211
7-886061,arkivet,26-103177
7-886061,arkivet,26-103208
7-886061,arkivet,26-103207
7-886061,arkivet,26-103780
7-886061,arkivet,26-103210
7-886061,arkivet,26-104138
7-886061,arkivet,26-106093
7-886061,arkivet,26-106092
7-883104,arkivet,26-102084
7-883104,arkivet,26-102068
7-883104,arkivet,26-106065
7-883104,arkivet,26-106060
